timestamp,responseTime,criteria
2019-04-01 13:30:58.122959,0.024995,CPU Usage
2019-04-01 13:30:58.139973,0.012535,CPU Usage
2019-04-01 13:30:58.157268,0.012655,CPU Usage
2019-04-01 13:30:58.176037,0.013624,CPU Usage
2019-04-01 13:30:58.203707,0.022704,CPU Usage
2019-04-01 13:30:58.216989,0.007481,CPU Usage
2019-04-01 13:30:58.230967,0.007817,CPU Usage
2019-04-01 13:30:58.276427,0.035253,CPU Usage
2019-04-01 13:35:12.452385,0.012974,Memory Usage
2019-04-01 13:35:12.466539,0.008915,Memory Usage
2019-04-01 13:35:12.543048,0.071862,Memory Usage
2019-04-01 13:35:12.576894,0.024342,Memory Usage
2019-04-01 13:35:12.607764,0.020161,Memory Usage
2019-04-01 13:35:12.637984,0.02535,Memory Usage
2019-04-01 13:35:12.658447,0.014495,Memory Usage
2019-04-01 13:35:12.676824,0.010021,Memory Usage
2019-04-01 13:35:12.702806,0.014803,Memory Usage
2019-04-01 13:35:12.722432,0.01484,Memory Usage
2019-04-01 13:35:12.741303,0.014346,Memory Usage
2019-04-01 13:35:12.759273,0.011782,Memory Usage
2019-04-01 13:35:12.775459,0.007562,Memory Usage
2019-04-01 13:35:12.792062,0.012685,Memory Usage
2019-04-01 13:35:12.810233,0.014784,Memory Usage
2019-04-01 13:35:12.827085,0.011817,Memory Usage
2019-04-01 13:35:12.844662,0.008947,Memory Usage
2019-04-01 13:35:12.869114,0.014667,Memory Usage
2019-04-01 13:35:12.900731,0.02672,Memory Usage
2019-04-01 13:35:12.924928,0.019278,Memory Usage
2019-04-01 13:35:12.945325,0.011799,Memory Usage
2019-04-01 13:35:12.977028,0.021276,Memory Usage
2019-04-01 13:35:13.026577,0.038173,Memory Usage
2019-04-01 13:35:13.043629,0.008541,Memory Usage
2019-04-01 13:35:13.092254,0.04028,Memory Usage
2019-04-01 13:35:13.116910,0.016351,Memory Usage
2019-04-01 13:35:13.130142,0.008771,Memory Usage
2019-04-01 13:35:13.142996,0.007748,Memory Usage
2019-04-01 13:35:13.159761,0.009337,Memory Usage
2019-04-01 13:35:13.175042,0.008075,Memory Usage
2019-04-01 13:35:13.191158,0.011396,Memory Usage
2019-04-01 13:35:13.208137,0.013559,Memory Usage
2019-04-01 13:35:13.236894,0.025465,Memory Usage
2019-04-01 13:35:13.253869,0.012774,Memory Usage
2019-04-01 13:35:13.276771,0.018277,Memory Usage
2019-04-01 13:35:13.307881,0.021701,Memory Usage
2019-04-01 13:35:13.323511,0.011696,Memory Usage
2019-04-01 13:35:13.341373,0.013771,Memory Usage
2019-04-01 13:35:13.367034,0.019863,Memory Usage
2019-04-01 13:35:13.382865,0.010729,Memory Usage
2019-04-01 13:35:13.404619,0.016139,Memory Usage
2019-04-01 13:35:13.427262,0.016408,Memory Usage
2019-04-01 13:35:13.447708,0.010463,Memory Usage
2019-04-01 13:35:13.463465,0.009551,Memory Usage
2019-04-01 13:35:13.477708,0.009722,Memory Usage
2019-04-01 13:35:13.498065,0.010343,Memory Usage
2019-04-01 13:35:13.514595,0.010671,Memory Usage
2019-04-01 13:35:13.544812,0.025323,Memory Usage
2019-04-01 13:35:13.558757,0.010045,Memory Usage
2019-04-01 13:35:13.578389,0.015927,Memory Usage
2019-04-01 13:35:13.596361,0.008552,Memory Usage
2019-04-01 13:35:13.614898,0.012105,Memory Usage
2019-04-01 13:35:13.633411,0.011378,Memory Usage
2019-04-01 13:35:13.657157,0.018568,Memory Usage
2019-04-01 13:35:13.675379,0.013478,Memory Usage
2019-04-01 13:35:13.691770,0.012852,Memory Usage
2019-04-01 13:35:13.710906,0.01251,Memory Usage
2019-04-01 13:35:13.728225,0.008581,Memory Usage
2019-04-01 13:35:13.745743,0.008396,Memory Usage
2019-04-01 13:35:13.766367,0.009497,Memory Usage
2019-04-01 13:35:13.778441,0.007714,Memory Usage
2019-04-01 13:35:13.793101,0.009701,Memory Usage
2019-04-01 13:35:13.810715,0.009649,Memory Usage
2019-04-01 13:35:13.828561,0.0097,Memory Usage
2019-04-01 13:35:13.843838,0.006673,Memory Usage
2019-04-01 13:35:13.859943,0.008554,Memory Usage
2019-04-01 13:35:13.876070,0.008496,Memory Usage
2019-04-01 13:35:13.893075,0.010214,Memory Usage
2019-04-01 13:35:13.915875,0.012422,Memory Usage
2019-04-01 13:35:13.934025,0.011924,Memory Usage
2019-04-01 13:35:13.951251,0.010767,Memory Usage
2019-04-01 13:35:13.970389,0.013607,Memory Usage
2019-04-01 13:35:13.987506,0.012113,Memory Usage
2019-04-01 13:35:14.036176,0.043306,Memory Usage
2019-04-01 13:35:14.068621,0.028268,Memory Usage
2019-04-01 13:35:14.106397,0.032809,Memory Usage
2019-04-01 13:35:14.121009,0.009459,Memory Usage
2019-04-01 13:35:14.137376,0.012368,Memory Usage
2019-04-01 13:35:14.155838,0.013252,Memory Usage
2019-04-01 13:35:14.173025,0.012905,Memory Usage
2019-04-01 13:35:14.192784,0.014986,Memory Usage
2019-04-01 13:35:14.211172,0.011706,Memory Usage
2019-04-01 13:35:14.239198,0.020062,Memory Usage
2019-04-01 13:35:14.257454,0.014195,Memory Usage
2019-04-01 13:35:14.289982,0.028576,Memory Usage
2019-04-01 13:35:14.308145,0.014022,Memory Usage
2019-04-01 13:35:14.347476,0.033819,Memory Usage
2019-04-01 13:35:14.361400,0.008837,Memory Usage
2019-04-01 13:35:14.386321,0.017231,Memory Usage
2019-04-01 13:35:14.399773,0.009381,Memory Usage
2019-04-01 13:35:14.419381,0.013305,Memory Usage
2019-04-01 13:35:14.439136,0.01478,Memory Usage
2019-04-01 13:35:14.463341,0.018915,Memory Usage
2019-04-01 13:35:14.481581,0.010184,Memory Usage
2019-04-01 13:35:14.496555,0.009037,Memory Usage
2019-04-01 13:35:14.519745,0.013608,Memory Usage
2019-04-01 13:35:14.540512,0.015573,Memory Usage
